Date,Account Size,Risk per Trade ($),Entry Price,Stop Loss,Target Price,Actual Exit,Notes
2026-09-05,50000,500,140.50,139.25,142.75,142.75,Hit target - 2R win
2026-09-05,50000,500,230.25,228.75,232.10,232.10,Hit target - 1.8R win
2026-09-05,50000,500,245.00,242.00,248.50,248.50,Hit target - 1.5R win
2026-09-05,50000,500,565.50,567.00,563.25,563.25,Shorted resistance - 1.2R win
2026-09-05,50000,500,185.75,183.50,189.25,187.50,Exited early - 0.8R
2026-09-05,50000,500,395.00,394.50,395.75,395.75,Quick scalp - 0.5R win
2026-09-06,50000,500,155.00,157.25,152.75,152.75,Short breakout - 1.5R win
2026-09-06,50000,500,520.50,518.00,523.75,523.75,Pullback setup - 1.8R win
2026-09-06,50000,500,175.25,177.00,172.50,172.50,Momentum short - 1.4R win
2026-09-06,50000,500,165.00,163.75,166.50,166.50,Breakout - 1.3R win
2026-09-06,50000,500,235.75,235.00,236.50,236.50,Power hour scalp - 0.6R win
2026-09-06,50000,500,42.50,43.00,41.75,41.75,Daily reversal - 1.6R win
2026-09-07,50000,500,28.75,28.00,29.50,29.50,ORB long - 1.9R win
2026-09-07,50000,500,170.50,168.50,172.75,172.75,VWAP pullback - 1.7R win
2026-09-07,50000,500,32.50,31.75,33.75,33.75,Momentum - 1.4R win
